cod_municipio,municipio,estado,ano,producao_kg,valor_producao_mil_reais,preco_medio_kg
1200401,Rio Branco,AC,2000,1800.0,22.0,12.222222222222221
2700300,Arapiraca,AL,2000,2560.0,10.0,3.90625
2701902,Chã Preta,AL,2000,800.0,8.0,10.0
2702355,Craíbas,AL,2000,400.0,2.0,5.0
2702603,Feira Grande,AL,2000,600.0,2.0,3.3333333333333335
2702900,Girau do Ponciano,AL,2000,2500.0,10.0,4.0
2703700,Jaramataia,AL,2000,1272.0,5.0,3.930817610062893
2704104,Lagoa da Canoa,AL,2000,1600.0,6.0,3.75
2706307,Palmeira dos Índios,AL,2000,609.0,3.0,4.926108374384237
2709202,Traipu,AL,2000,3600.0,14.0,3.888888888888889
1304203,Tefé,AM,2000,498.0,3.0,6.024096385542169
2900207,Abaré,BA,2000,1190.0,12.0,10.084033613445378
2900306,Acajutiba,BA,2000,350.0,4.0,11.428571428571429
2900355,Adustina,BA,2000,800.0,8.0,10.0
2900702,Alagoinhas,BA,2000,11342.0,52.0,4.584729324634103
2900801,Alcobaça,BA,2000,9600.0,47.0,4.895833333333333
2901304,Andaraí,BA,2000,4800.0,18.0,3.75
2901403,Angical,BA,2000,1820.0,6.0,3.2967032967032965
2901601,Antas,BA,2000,1500.0,15.0,10.0
2902104,Araci,BA,2000,268.0,3.0,11.194029850746269
2902252,Arataca,BA,2000,500.0,5.0,10.0
2902500,Baianópolis,BA,2000,1364.0,5.0,3.665689149560117
2902658,Banzaê,BA,2000,2000.0,20.0,10.0
2902906,Barra do Choça,BA,2000,1735.0,3.0,1.7291066282420748
2903003,Barra do Mendes,BA,2000,70.0,1.0,14.285714285714286
2903201,Barreiras,BA,2000,3020.0,14.0,4.635761589403973
2903235,Barro Alto,BA,2000,90.0,1.0,11.11111111111111
2903409,Belmonte,BA,2000,205.0,2.0,9.75609756097561
2903607,Biritinga,BA,2000,352.0,4.0,11.363636363636363
2903706,Boa Nova,BA,2000,1765.0,18.0,10.19830028328612
2904050,Bonito,BA,2000,1000.0,10.0,10.0
2904100,Boquira,BA,2000,4000.0,40.0,10.0
2904704,Buerarema,BA,2000,590.0,6.0,10.169491525423728
2904902,Cachoeira,BA,2000,1610.0,16.0,9.937888198757763
2905008,Caculé,BA,2000,1419.0,14.0,9.866102889358704
2905206,Caetité,BA,2000,1594.0,16.0,10.037641154328734
2905602,Camacan,BA,2000,820.0,8.0,9.75609756097561
